feed_sat,cell_id
5,17
7,86
8,43
28,16
29,84
30,83
51,41
52,43
53,43
74,29
75,44
76,43
96,16
97,42
98,57
99,18
119,20
120,28
121,49
122,9
142,28
143,42
144,43
165,29
166,42
167,17
187,36
188,28
189,86
190,9
210,41
211,21
213,10
233,48
234,41
235,29
256,28
257,43
258,9
278,28
279,41
280,85
281,10
301,43
302,28
303,84
304,10
324,28
325,45
326,10
347,82
348,84
349,36
370,42
371,83
372,17
392,43
394,41
395,9
415,42
416,84
417,86
418,1
438,84
439,41
440,43
461,84
462,41
463,18
484,84
485,44
486,17
507,84
508,44
509,9
530,42
531,85
553,16
576,17
1341,28
1364,43
1386,42
1387,41
1388,28
1409,42
1410,41
1411,28
1432,43
1434,30
1454,18
1455,42
1456,85
1457,42
1477,22
1478,20
1479,84
1480,17
1500,28
1501,43
1502,43
1503,16
1523,42
1524,43
1525,86
1526,17
1546,28
1547,41
1548,43
1568,17
1569,41
1570,42
1571,87
