Satellite,Final Gateway Assigned,Predicted 3 Gateways,Actual Gateway,Distance (km)
1524,47,"35, 22, 25",20,277.166726855177
7,31,"14, 15, 53",53,1487.6153157452063
1546,2,"51, 35, 11",5,828.3997640776806
143,7,"33, 31, 30",30,3003.993804688366
1433,28,"47, 32, 17",36,3233.698609453441
1502,34,"17, 0, 42",42,1037.3070101817918
255,38,"49, 23, 7",41,619.9251286914832
439,18,"34, 52, 25",52,2491.6321068798925
234,47,"21, 43, 31",31,1477.7683053033393
74,35,"9, 21, 6",21,744.9340478118093
120,14,"31, 43, 21",43,2073.226623618629
210,8,"49, 5, 39",39,336.4905055566484
1479,1,"42, 17, 0",17,2457.723986106931
1478,53,"10, 22, 38",10,1740.4457537197197
53,29,"29, 14, 26",26,753.8654980794394
507,15,"50, 42, 37",37,266.74114635014257
164,13,"2, 40, 23",23,4363.504619667462
531,42,"1, 28, 48",48,2311.0858009477097
325,50,"33, 6, 35",4,755.6277608606142
484,46,"53, 37, 50",15,2222.8778995724338
302,4,"35, 6, 46",33,386.7963521710027
1569,25,"6, 46, 22",6,897.7398565488952
5,11,"3, 9, 8",40,1724.691060222359
75,13,"27, 19, 16",16,1695.7588957595135
1386,39,"39, 41, 49",49,699.9555863535071
1545,27,"3, 2, 40",3,3211.9190528443937
324,36,"40, 12, 11",3,2756.1627040212375
211,51,"6, 21, 43",43,1346.8399826806994
1547,50,"25, 47, 52",42,554.9932665213253
1548,47,"0, 24, 13",13,1864.3609658603746
1454,17,"7, 39, 23",7,3043.042612228871
530,12,"24, 0, 15",0,2755.0201531094876
1456,50,"17, 42, 32",32,1165.7892678641053
393,39,"10, 22, 11",22,1962.7351975671706
280,37,"31, 19, 30",28,1996.6792049679627
232,30,"41, 23, 7",7,3003.993804688366
188,27,"21, 31, 9",9,2628.0858724299596
462,30,"15, 16, 53",14,1027.5154394289282
235,14,"23, 48, 28",28,1142.1508464072626
141,45,"40, 23, 2",40,2576.2953351429046
278,3,"41, 39, 49",23,328.3673516013339
1409,39,"12, 51, 38",12,894.4812200251026
371,6,"30, 4, 19",1,1828.298568578279
485,17,"26, 29, 14",14,1867.6508064921
346,45,"38, 41, 18",18,1562.4396001868245
1501,43,"52, 22, 10",47,1616.2100193929843
6,48,"6, 46, 35",35,2273.0623611527753
187,5,"7, 39, 23",8,396.2136043895222
1570,5,"15, 52, 34",50,2526.5592130317923
212,9,"28, 1, 48",48,3290.1474853510795
1363,32,"41, 23, 7",7,2706.039573804364
1525,45,"42, 0, 24",24,2023.2603197850751
28,25,"9, 5, 43",2,2426.9086935078935
30,27,"14, 15, 29",29,740.9657731205881
508,36,"1, 14, 26",48,3084.093239097333
1523,0,"51, 6, 12",39,3570.709939362229
1455,44,"12, 22, 11",11,1059.7351127512484
394,12,"1, 19, 27",27,2656.491320463512
1341,43,"7, 41, 18",18,2256.6762742994156
1432,19,"10, 12, 11",51,2366.60682557988
1364,26,"18, 38, 44",44,3628.0440009153726
416,17,"47, 25, 22",25,1006.4139629822121
142,4,"8, 43, 9",8,2341.135277174541
165,12,"43, 3, 8",9,771.8263288271999
119,22,"3, 9, 8",9,1554.211246369749
256,14,"46, 6, 12",40,3673.3844276399777
121,0,"27, 26, 1",1,1630.3341718037277
301,16,"12, 51, 38",38,2928.630826220964
233,51,"12, 5, 46",46,966.5130671433402
73,40,"3, 2, 40",40,0.0
52,1,"34, 33, 4",34,1258.8596922467298
189,25,"27, 19, 1",48,2287.4118743323797
166,20,"27, 30, 19",19,1842.3189091712793
98,24,"1, 26, 27",26,1820.7626000099835
417,21,"26, 27, 1",1,1792.2012656429677
258,34,"18, 48, 28",28,1753.0926515753429
1410,41,"45, 32, 36",45,1960.1655166042774
440,19,"1, 28, 48",28,1260.5064917645693
348,15,"21, 4, 33",19,1122.2075083276543
50,41,"40, 3, 2",2,1186.728516157776
303,52,"1, 28, 19",28,2098.2854048659
1431,23,"2, 23, 40",23,0.0
167,33,"11, 48, 28",28,1800.9194617091905
96,30,"8, 40, 3",3,2538.7652705647006
372,22,"22, 48, 28",28,2667.6642086603506
144,15,"28, 1, 48",28,1753.3287750108866
1568,39,"8, 40, 3",8,336.4905055566484
463,45,"18, 48, 28",28,3500.305634819703
326,43,"1, 48, 28",28,2384.4337793247214
1522,7,"40, 3, 2",2,620.5322549279991
29,35,"6, 35, 33",34,730.7950072488954
279,6,"8, 5, 12",46,510.40460231751223
553,49,"0, 13, 29",29,3622.5532100548166
349,33,"25, 48, 28",28,1800.9194617091905
51,36,"8, 3, 5",5,2185.407504410787
370,23,"22, 51, 11",51,1032.864099181511
97,41,"9, 21, 6",6,2233.777473124517
1500,10,"46, 5, 12",12,986.606131506589
369,44,"18, 38, 44",38,553.0902367041203
1477,43,"5, 49, 39",49,1893.249907333304
415,1,"47, 36, 32",20,2488.7140880904553
257,0,"19, 31, 30",30,1612.7183159559245
