idx,lat,lng,closest_gw_id,second_closest_gw_id
294,42.81789630262507,-85.97884876845322,4,19
341,43.13395106396976,-85.62912503963864,4,19
972,42.31683765692249,-84.62373045427314,4,19
1185,43.00597000403405,-84.47975265099205,19,4
1821,43.450245367416464,-85.27428769705332,19,4
2225,42.69359117185233,-84.83710717358521,4,19
2382,42.24946918073712,-84.059105768302,19,4
2458,43.511703700322734,-85.85432639664478,19,4
2666,43.57019577221215,-86.43523067274651,4,19
2827,42.38141662418799,-85.18941681243568,4,19
2861,43.07140889082808,-85.05393359582155,19,4
3039,42.75717328609063,-85.40751475861228,4,19
3054,43.2502842129474,-86.78208414353234,4,19
3255,43.38583590952869,-84.69523124406095,19,4
3381,42.87574572083093,-86.55099758722245,4,19
3474,43.19358080594213,-86.20521343215451,4,19
4073,42.62716621997208,-84.26773653330814,19,4
