file,unused_gateways
file_data_10_00_00.csv,"[19, 25, 29, 50, 51]"
file_data_10_00_20.csv,"[5, 6, 15, 25, 31, 36, 41, 42, 47]"
file_data_10_00_40.csv,"[15, 17, 31, 33, 34, 40, 42, 43, 45, 47]"
file_data_10_01_00.csv,"[0, 17, 32, 38, 42, 45, 47]"
file_data_10_01_20.csv,"[10, 18, 22, 26, 32, 36, 38, 42, 52]"
file_data_10_01_40.csv,"[11, 18, 29, 32, 33, 42, 47, 49, 50]"
file_data_10_02_00.csv,"[4, 12, 16, 18, 25, 33, 42]"
file_data_10_02_20.csv,"[4, 25, 29, 33, 38]"
file_data_10_02_40.csv,"[4, 29, 33, 37, 47]"
file_data_10_03_00.csv,"[0, 20, 22, 24, 33, 34]"
